State,State_abb,ECV,Biden,Trump
Alabama,AL,9,39.6,59.6
Alaska,AK,3,44.5,52.9
Arizona,AZ,11,50.7,48.1
Arkansas,AR,6,37.8,60.5
California,CA,55,64.1,34.1
Colorado,CO,9,54.5,42.8
Connecticut,CT,7,61.6,37.5
Delaware,DE,3,62.3,36.6
District of Columbia,DC,3,91.3,5.4
Florida,FL,29,50.9,48.4
Georgia,GA,16,50.1,49.2
Hawaii,HI,4,67.5,30.9
Idaho,ID,4,37.5,59.5
Illinois,IL,20,58.3,40.4
Indiana,IN,11,44,54.8
Iowa,IA,6,48.5,50
Kansas,KS,6,42.5,55.7
Kentucky,KY,8,40.4,58.4
Louisiana,LA,8,40.2,58.8
Maine,ME,4,55.2,43.4
Maryland,MD,10,65,33.6
Massachusetts,MA,11,66.7,31.8
Michigan,MI,16,53.5,45.5
Minnesota,MN,10,53.7,44.6
Mississippi,MS,6,42.5,56.8
Missouri,MO,10,44.6,54.1
Montana,MT,3,45.9,52.2
Nebraska,NE,5,40.2,58.2
Nevada,NV,6,52.3,46.2
New Hampshire,NH,4,54.8,44.2
New Jersey,NJ,14,59.7,39.4
New Mexico,NM,5,55.6,42.6
New York,NY,29,64.1,35
North Carolina,NC,15,50.5,48.8
North Dakota,ND,3,37.9,59.6
Ohio,OH,18,49.2,49.8
Oklahoma,OK,7,36.9,62.1
Oregon,OR,7,58.7,39.3
Pennsylvania,PA,20,52,47.3
Rhode Island,RI,4,62.9,35.7
South Carolina,SC,9,45.9,53.4
South Dakota,SD,3,40.8,57.8
Tennessee,TN,11,41.6,57.3
Texas,TX,38,48.3,50.3
Utah,UT,6,41.7,55.5
Vermont,VT,3,67.2,29.1
Virginia,VA,13,55.8,43.3
Washington,WA,12,60.8,37
West Virginia,WV,5,33.8,64.5
Wisconsin,WI,10,53.7,45.4
Wyoming,WY,3,31,65.8
