state,p_decisive_vote
PA,1.3617343177287054e-7
WI,1.313165763056577e-7
NH,1.2592401499443702e-7
MI,1.2149830049048435e-7
NV,1.0330365637686099e-7
MN,7.220235851384599e-8
AZ,6.884042167742172e-8
FL,5.812104525795169e-8
NC,3.9387900884761055e-8
GA,3.23741255418432e-8
NM,2.9514074776664894e-8
ME,2.6498425312081838e-8
VA,2.3431537225676003e-8
TX,2.073526287793336e-8
AK,1.7393542023917107e-8
CO,1.737805870347727e-8
IA,1.190177129999445e-8
OH,7.409984527807916e-9
IL,4.111598703502275e-9
RI,3.691569631828132e-9
NJ,2.7562990537981964e-9
OR,2.568490923700651e-9
CT,2.104307252263568e-9
MS,1.9398577398492606e-9
SC,1.4457183852877968e-9
MT,1.4108580518242354e-9
DE,1.3467328646495407e-9
KS,8.00127707325978e-10
LA,7.856437876396854e-10
MO,6.640095442324198e-10
WA,5.757754121663728e-10
HI,4.81480338239958e-10
SD,4.0910175973405347e-10
NY,3.679411751895907e-10
NE,2.8959438949482166e-10
AR,2.546013966778107e-10
TN,2.353143153403986e-10
MD,2.2846174296504522e-10
UT,2.1169589191231972e-10
AL,2.1003794573817172e-10
IN,1.8510290163635123e-10
CA,1.3582581955494581e-10
MA,1.282325202008865e-10
ND,1.279192547687077e-10
VT,1.1889181553510186e-10
KY,5.964146012067142e-11
OK,5.936198099978004e-11
ID,4.7684000600940194e-11
WV,2.3895816998006677e-11
WY,1.8687458965764302e-11
DC,7.845271509226118e-15
