state,p_decisive_vote,p_decisive_vote_label,p_tipping_point,dem_margin,dem_margin_low,dem_margin_high,dem_win_prob,dem_margin_2016
PA,1.176214844013586e-7,1 in 9 million,0.339125,6,-2,14,93,-0.8
NH,9.054095636336599e-8,1 in 11 million,0.033125,9,-0,17,97,0.4
WI,8.411715464174966e-8,1 in 12 million,0.100375,8,-0,16,97,-0.8
MI,7.605108208734596e-8,1 in 13 million,0.12325,8,-0,16,97,-0.2
NV,6.987717233001693e-8,1 in 14 million,0.03425,6,-2,15,93,2.6
MN,4.953641609169879e-8,1 in 20 million,0.045625,9,1,17,98,1.7
AZ,4.6390598624902e-8,1 in 22 million,0.05275,3,-6,11,74,-3.8
NM,3.052968026825043e-8,1 in 33 million,0.03675,13,4,22,100,9.3
FL,3.0361901001957714e-8,1 in 33 million,0.11125,3,-5,11,76,-1.2
GA,2.3012563330546196e-8,1 in 43 million,0.033625,1,-8,9,56,-5.3
NC,2.195731331014918e-8,1 in 46 million,0.046875,2,-6,10,68,-3.8
ME,1.5748569762730143e-8,1 in 63 million,3.75e-4,13,4,21,100,3.2
VA,1.4393653923017297e-8,1 in 69 million,0.013125,12,3,20,100,5.7
TX,8.752175681153237e-9,1 in 114 million,0.013,-3,-11,6,23,-9.4
CO,7.610117476501166e-9,1 in 131 million,0.011875,12,3,21,100,5.4
IA,4.5708981242838264e-9,1 in 219 million,0.00225,-1,-9,8,44,-10.1
OH,4.4218445821031334e-9,1 in 226 million,8.75e-4,-1,-9,7,41,-8.5
AK,3.1602415148833908e-9,1 in 316 million,0,-8,-16,1,5,-16.8
IL,2.2809384438223183e-9,1 in 438 million,0.001125,19,9,29,100,18
NJ,1.7080632858856706e-9,1 in 585 million,2.5e-4,20,11,29,100,14.6
RI,1.4376607067887447e-9,1 in 696 million,0,25,15,34,100,16.6
OR,1.2445607227341518e-9,1 in 803 million,0,18,10,27,100,12.3
DE,1.0657525789472471e-9,1 in 938 million,0,21,12,30,100,12
CT,9.662806441415238e-10,1 in 1 billion,1.25e-4,22,13,31,100,14.3
MS,5.315740387015842e-10,1 in 2 billion,0,-12,-21,-3,0,-18.2
MT,4.0006364565496654e-10,1 in 2 billion,0,-9,-18,-1,2,-22.2
SC,3.884031761540816e-10,1 in 3 billion,0,-8,-17,0,3,-14.9
WA,3.402042922709815e-10,1 in 3 billion,0,24,16,33,100,17.6
NY,3.034820340523545e-10,1 in 3 billion,0,29,20,38,100,23.5
MO,2.6004419010474595e-10,1 in 4 billion,0,-9,-17,-0,2,-19.6
HI,2.5545874788669977e-10,1 in 4 billion,0,37,28,46,100,34.9
MD,2.3267441876278847e-10,1 in 4 billion,0,32,23,40,100,28
KS,2.173136561234084e-10,1 in 5 billion,0,-12,-21,-3,0,-22.2
LA,1.9162796293707876e-10,1 in 5 billion,0,-14,-23,-5,0,-20.3
CA,1.0262609442114729e-10,1 in 10 billion,0,35,27,43,100,32.3
TN,1.0216496159492443e-10,1 in 10 billion,0,-17,-27,-8,0,-27.2
NE,1.0189245005405341e-10,1 in 10 billion,0,-17,-26,-8,0,-27.1
IN,9.287173149680154e-11,1 in 11 billion,0,-14,-22,-5,0,-20.2
UT,9.236758040723862e-11,1 in 11 billion,0,-19,-27,-10,0,-24.8
VT,7.981178252208473e-11,1 in 13 billion,0,36,27,44,100,30.4
MA,6.856812671447119e-11,1 in 15 billion,0,35,26,43,100,29.3
SD,5.886383565986516e-11,1 in 17 billion,0,-18,-27,-10,0,-31.9
AL,3.97018226156322e-11,1 in 25 billion,0,-19,-28,-10,0,-28.7
AR,3.220282580295474e-11,1 in 31 billion,0,-23,-32,-14,0,-28.6
ND,2.7258732321147706e-11,1 in 37 billion,0,-25,-34,-16,0,-39.6
ID,2.0874315715410987e-11,1 in 48 billion,0,-26,-34,-17,0,-36.6
OK,2.0044047087292008e-11,1 in 50 billion,0,-27,-36,-18,0,-38.6
KY,1.6452130513707757e-11,1 in 61 billion,0,-21,-29,-12,0,-31.3
WV,7.273836337348146e-12,1 in 137 billion,0,-29,-37,-21,0,-44.3
WY,2.529705269424933e-12,1 in 395 billion,0,-40,-48,-31,0,-51.4
DC,4.608373168162743e-15,1 in 217 trillion,0,91,88,93,100,91.4
