,State,ECV,Polls_Biden_9_21_538,Polls_Trump_9_21_538,2016_Trump,2016_Clinton
,National,538,50.4,43.6,46.1,48.2
1,Alabama,9,40,55.1,62.9,34.6
2,Alaska,3,44,50,52.9,37.7
3,Arizona,11,48.6,44.1,49.5,45.4
4,Arkansas,6,45,47,60.4,33.8
5,California,55,60.6,31.5,33.2,61.5
6,Colorado,9,51.1,41.2,44.4,47.2
7,Connecticut,7,54.9,34.5,41.2,54.5
8,Delaware,3,58,37,41.9,53.4
9,District of Columbia,3,100,0,4.1,92.8
10,Florida,29,48.1,46.1,49.1,47.8
11,Georgia,16,47.3,46.3,51.3,45.6
12,Hawaii,4,56,29,30.1,62.3
13,Idaho,4,34,60,59.2,27.6
14,Illinois,20,100,0,39.4,55.4
15,Indiana,11,38.9,53.4,57.2,37.9
16,Iowa,6,45.3,47,51.8,42.2
17,Kansas,6,41.3,50.9,57.2,36.2
18,Kentucky,8,38.5,57.2,62.5,32.7
19,Louisiana,8,40.4,51.1,58.1,38.4
20,Maine,4,53.7,40,45.2,47.9
21,Maryland,10,59,35,35.3,60.5
22,Massachusetts,11,63.8,29.9,33.5,60.8
23,Michigan,16,49.9,42.2,47.6,47.3
24,Minnesota,10,51.2,42.2,45.4,46.9
25,Mississippi,6,40.7,52.5,58.3,39.7
26,Missouri,10,43.9,50.8,57.1,38
27,Montana,3,42.9,51,56.5,36
28,Nebraska,5,0,100,60.3,34
29,Nevada,6,46.5,41,45.5,47.9
30,New Hampshire,4,49.7,43,47.2,47.6
31,New Jersey,14,55.4,36.5,41.8,55
32,New Mexico,5,54,41.4,40,48.3
33,New York,29,60.1,33.6,37.5,58.8
34,North Carolina,15,47.7,46.4,46.7,50.5
35,North Dakota,3,38,55,64.1,27.8
36,Ohio,18,46.5,48,52.1,43.5
37,Oklahoma,7,35,58.7,65.3,28.9
38,Oregon,7,51,39,41.1,51.7
39,Pennsylvania,20,49.7,45.1,47.6,48.8
40,Rhode Island,4,100,0,39.8,55.4
41,South Carolina,9,43.9,51,54.9,40.8
42,South Dakota,3,0,100,61.5,31.7
43,Tennessee,11,40.8,53.2,61.1,34.9
44,Texas,38,46.6,47.4,52.6,43.4
45,Utah,6,36.9,49.5,45.6,27.8
46,Vermont,3,100,0,32.6,61.1
47,Virginia,13,51.7,40.7,45,49.9
48,Washington,12,59.4,33.7,38.2,54.4
49,West Virginia,5,31,66,68.7,26.5
50,Wisconsin,10,50.3,43.7,47.9,46.9
51,Wyoming,3,0,100,70.1,22.5
